organization_name,lane,org_type,address,city,distance_miles,contact_name,role_target,email,phone,source,verification_status
Mosaic Pre-K Center,School,kindergarten,45-01 111th Street,,0.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Boys & Girls Club,Support Organization,social_facility,,,0.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 120,School,school,58-01 136th Street,,0.71,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Faith Bible Seminary,School,school,,,0.73,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 28 - The Thomas Emanuel Early Childhood Center,School,school,,,0.73,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mosaic Pre-K Center,School,school,,,0.76,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Main Street Medical Services,Medical,doctors,55-16 Main Street,,0.77,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rego Park Health Care,Support Organization,social_facility,111-26 Corona Avenue,New York,0.8,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Madison York,Support Organization,social_facility,,,0.81,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian/Queens,Medical,hospital,56-45 Main Street,Flushing,0.84,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 244Q,School,school,,,0.84,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Kon Wah Day School,School,school,135-27 38th Avenue,,0.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rendr,Medical,clinic,135-27 38th Avenue,,0.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 143 - Louis Armstrong,School,school,,,0.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Advantage Care Physicians,Medical,clinic,,,0.89,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
East Sunrise Clinic,Medical,doctors,,,0.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Corona Medical Offices,Medical,clinic,41-09 108th Street,,0.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 14,School,school,,,0.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sanford Manor,Support Organization,social_facility,140-40 Sanford Avenue,Flushing,0.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Charles B Wang Community Health Center,Medical,clinic,,,0.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Soundheimer Family Campus,Medical,clinic,,,0.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Castle Senior Living,Support Organization,social_facility,10825 Horace Harding Expressway,Corona,0.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Summit Health,Medical,clinic,,,0.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Leos School,School,school,104-15 49th Avenue,,0.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
East-West School of International Studies,School,school,,,1.0,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mosaic Pre-K Center,School,school,104-04 Corona Avenue,,1.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Plaza del Sol Family Health Center,Medical,clinic,104-01 Corona Avenue,,1.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Anns School,School,school,,,1.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
