organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
Meditation Center,alternative,,alternative,,131-57 Fowler Avenue,Flushing,40.7519416,-73.832957,0.44
Charles B. Wang Community Health Center,yes,,yes,,131-72 40th Road,,40.7567105,-73.8343916,0.58
Mosaic Pre-K Center,kindergarten,kindergarten,,,45-01 111th Street,,40.7480299,-73.8530732,0.65
Boys & Girls Club,social_facility,social_facility,,outreach,,,40.7566328,-73.8313528,0.68
Public School 120,school,school,,,58-01 136th Street,,40.7452266,-73.8286878,0.71
Faith Bible Seminary,school,school,,,,,40.7572222,-73.8308333,0.73
Kyaw and Tan Dental PC,dentist,dentist,dentist,,42-60 Main Street,,40.7540319,-73.8279859,0.73
P.S. 28 - The Thomas Emanuel Early Childhood Center,school,school,,,,,40.7471747,-73.8542176,0.73
Well Care Pharmacy,pharmacy,pharmacy,pharmacy,,42-83 Main Street,Flushing,40.7531396,-73.8270576,0.76
Mosaic Pre-K Center,school,school,,,,,40.7470293,-73.8547533,0.76
Main Street Medical Services,doctors,doctors,doctor,,55-16 Main Street,,40.7487606,-73.826226,0.77
Arcadia Pharmacy,pharmacy,pharmacy,pharmacy,,136-43 Franklin Avenue,,40.7546021,-73.8272528,0.78
Rego Park Health Care,social_facility,social_facility,,nursing_home,111-26 Corona Avenue,New York,40.7400906,-73.8490053,0.8
Medi-Space Drugs,pharmacy,pharmacy,pharmacy,,41-33 Main Street,Flushing,40.7573253,-73.8288436,0.81
Madison York,social_facility,social_facility,,nursing_home,,,40.7396201,-73.848472,0.81
All Rx Pharmacy,pharmacy,pharmacy,pharmacy,,40-22 Main Street,Flushing,40.7588687,-73.8303767,0.83
NewYork-Presbyterian/Queens,hospital,hospital,hospital,,56-45 Main Street,Flushing,40.7471842,-73.8251962,0.84
Public School 244Q,school,school,,,,,40.7545271,-73.8260893,0.84
Zen Ginseng,alternative,,alternative,,40-22 Main Street,Flushing,40.7589995,-73.8300738,0.85
Kiosk Pharmacy,pharmacy,pharmacy,pharmacy,,41-15 Kissena Boulevard,Flushing,40.7584779,-73.8292251,0.85
Rainbow Care Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7593097,-73.8305,0.85
KM Pharmacy,pharmacy,pharmacy,pharmacy,,41-35B Kissena Boulevard,,40.7580118,-73.8284013,0.86
Corona Dental,dentist,dentist,dentist,,108-07 108th Street,,40.7431938,-73.8546845,0.86
Duane Reade,pharmacy,pharmacy,pharmacy,,,,40.7594601,-73.8298417,0.88
Kon Wah Day School,school,school,,,135-27 38th Avenue,,40.7605553,-73.831801,0.88
108 Pharmacy,pharmacy,pharmacy,pharmacy,,45-02 108th Street,,40.7477759,-73.8574227,0.88
Rendr,clinic,clinic,clinic,,135-27 38th Avenue,,40.760643,-73.8318523,0.88
Public School 143 - Louis Armstrong,school,school,,,,,40.7555474,-73.8558005,0.88
Flushing Pharmacy,pharmacy,pharmacy,pharmacy,,47-02 Kissena Boulevard,,40.7570451,-73.8266321,0.89
Advantage Care Physicians,clinic,clinic,clinic,,,,40.7576424,-73.8273639,0.89
Kissena Dental Care,dentist,dentist,dentist,,42-56 Kissena Boulevard,Flushing,40.7557945,-73.8255102,0.9
