organization_name,lane,org_type,address,city,phone,email,website,contact_name,role_target,distance_miles,source,verification_status
Mosaic Pre-K Center,School,kindergarten,45-01 111th Street,,+1-332-237-2314,,https://z154.mosaicprek.org,,School Social Worker,0.65,OpenStreetMap (Overpass),raw_unverified
Boys & Girls Club,Support Organization,social_facility,,,,,,,Program Intake Coordinator,0.68,OpenStreetMap (Overpass),raw_unverified
Public School 120,School,school,58-01 136th Street,,,,,,School Social Worker,0.71,OpenStreetMap (Overpass),raw_unverified
Faith Bible Seminary,School,school,,,,,,,School Social Worker,0.73,OpenStreetMap (Overpass),raw_unverified
P.S. 28 - The Thomas Emanuel Early Childhood Center,School,school,,,,,,,School Social Worker,0.73,OpenStreetMap (Overpass),raw_unverified
Mosaic Pre-K Center,School,school,,,,,,,School Social Worker,0.76,OpenStreetMap (Overpass),raw_unverified
Main Street Medical Services,Medical,doctors,55-16 Main Street,,,,,,Pediatric Intake Coordinator,0.77,OpenStreetMap (Overpass),raw_unverified
Rego Park Health Care,Support Organization,social_facility,111-26 Corona Avenue,New York,,,https://regoparkhealthcare.com/,,Program Intake Coordinator,0.8,OpenStreetMap (Overpass),raw_unverified
Madison York,Support Organization,social_facility,,,,,,,Program Intake Coordinator,0.81,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian/Queens,Medical,hospital,56-45 Main Street,Flushing,+1 718 670 2000,,http://www.nyhq.org/,,Pediatric Intake Coordinator,0.84,OpenStreetMap (Overpass),raw_unverified
Public School 244Q,School,school,,,,,https://www.ps244q.org/,,School Social Worker,0.84,OpenStreetMap (Overpass),raw_unverified
Kon Wah Day School,School,school,135-27 38th Avenue,,,,,,School Social Worker,0.88,OpenStreetMap (Overpass),raw_unverified
Rendr,Medical,clinic,135-27 38th Avenue,,,,https://www.rendrcare.com/,,Pediatric Intake Coordinator,0.88,OpenStreetMap (Overpass),raw_unverified
Public School 143 - Louis Armstrong,School,school,,,,,,,School Social Worker,0.88,OpenStreetMap (Overpass),raw_unverified
Advantage Care Physicians,Medical,clinic,,,,,,,Pediatric Intake Coordinator,0.89,OpenStreetMap (Overpass),raw_unverified
East Sunrise Clinic,Medical,doctors,,,,,,,Pediatric Intake Coordinator,0.9,OpenStreetMap (Overpass),raw_unverified
Corona Medical Offices,Medical,clinic,41-09 108th Street,,+1 718-205-2230,,,,Pediatric Intake Coordinator,0.9,OpenStreetMap (Overpass),raw_unverified
PS 14,School,school,,,,,,,School Social Worker,0.93,OpenStreetMap (Overpass),raw_unverified
Sanford Manor,Support Organization,social_facility,140-40 Sanford Avenue,Flushing,,,,,Program Intake Coordinator,0.95,OpenStreetMap (Overpass),raw_unverified
Charles B Wang Community Health Center,Medical,clinic,,,,,,,Pediatric Intake Coordinator,0.96,OpenStreetMap (Overpass),raw_unverified
The Soundheimer Family Campus,Medical,clinic,,,,,,,Pediatric Intake Coordinator,0.96,OpenStreetMap (Overpass),raw_unverified
